,ID,Winery,Name,Vintage,Country,Region,Wine_Style,Wine_Type,Wine_Type_ID,Grape Type,Grape_ID,Rating,Review_Count,Price,Acidity,Fizziness,Intensity,Sweetness,Tannin
11,Ligne de Crete Les Grandes Vignes Hermitage 2016,Delas,Ligne de Crete Les Grandes Vignes Hermitage,2016,France,Hermitage,northern-rhone-hermitage,Hermitage,1,Shiraz/Syrah,1,0.0,20,204.7,3.6483219,,4.0875173,1.6312081,4.2125506
12,Ligne de Crete Les Grandes Vignes Hermitage 2019,Delas,Ligne de Crete Les Grandes Vignes Hermitage,2019,France,Hermitage,northern-rhone-hermitage,Hermitage,1,Shiraz/Syrah,1,0.0,9,180.0,3.6483219,,4.0875173,1.6312081,4.2125506
13,Ligne de Crete Les Grandes Vignes Hermitage 2017,Delas,Ligne de Crete Les Grandes Vignes Hermitage,2017,France,Hermitage,northern-rhone-hermitage,Hermitage,1,Shiraz/Syrah,1,0.0,8,204.7,3.6483219,,4.0875173,1.6312081,4.2125506
14,Côte-Rôtie La Landonne 2015,E. Guigal,Côte-Rôtie La Landonne,2015,France,Côte-Rôtie,northern-rhone-cote-rotie,Côte-Rotie,1,Shiraz/Syrah,1,4.7,64,420.0,3.89798,,4.2759876,1.7000887,4.1334233
15,Côte-Rôtie Côte Brune 2004,Domaine Jamet,Côte-Rôtie Côte Brune,2004,France,Côte-Rôtie,northern-rhone-cote-rotie,Côte-Rotie,1,Shiraz/Syrah,1,4.7,54,660.0,3.9607635,,4.3313193,1.6503055,4.29368
16,Côte-Rôtie La Turque 2018,E. Guigal,Côte-Rôtie La Turque,2018,France,Côte-Rôtie,northern-rhone-cote-rotie,Côte-Rotie,1,Shiraz/Syrah,1,4.7,52,367.5,3.8767025,,4.0980372,1.7093172,3.96099
17,Ermitage Cuvée Cathelin 1998,Domaine Jean-Louis Chave,Ermitage Cuvée Cathelin,1998,France,Hermitage,northern-rhone-hermitage,Hermitage,1,Shiraz/Syrah,1,4.7,32,7518.0,3.4616768,,4.810882,2.1581767,4.271941
18,Les Secrets Madeleine Pic-Saint-Loup 2012,Château de Lascaux,Les Secrets Madeleine Pic-Saint-Loup,2012,France,Pic-Saint-Loup,languedoc-roussillon-red,Red,1,Shiraz/Syrah,1,0.0,16,48.95,3.6666667,,3.6666667,1.6666666,3.8333333
19,Côte-Rôtie Côte Brune 2005,Domaine Jamet,Côte-Rôtie Côte Brune,2005,France,Côte-Rôtie,northern-rhone-cote-rotie,Côte-Rotie,1,Shiraz/Syrah,1,4.7,26,720.0,3.9607635,,4.3313193,1.6503055,4.29368
20,Côte-Rôtie La Turque 2019,E. Guigal,Côte-Rôtie La Turque,2019,France,Côte-Rôtie,northern-rhone-cote-rotie,Côte-Rotie,1,Shiraz/Syrah,1,0.0,9,315.1,3.8767025,,4.0980372,1.7093172,3.96099
21,Côte-Rôtie La Mouline 2019,E. Guigal,Côte-Rôtie La Mouline,2019,France,Côte-Rôtie,northern-rhone-cote-rotie,Côte-Rotie,1,Shiraz/Syrah,1,0.0,11,315.1,3.8723943,,3.9637773,1.712564,3.8749628
22,Côte-Rôtie La Landonne 2019,E. Guigal,Côte-Rôtie La Landonne,2019,France,Côte-Rôtie,northern-rhone-cote-rotie,Côte-Rotie,1,Shiraz/Syrah,1,0.0,11,525.0,3.89798,,4.2759876,1.7000887,4.1334233
23,La Porte du Ciel Languedoc La Clape 2020,Château la Négly,La Porte du Ciel Languedoc La Clape,2020,France,La Clape,languedoc-roussillon-red,Red,1,Shiraz/Syrah,1,0.0,11,144.79,3.687359,,4.1795235,2.0532742,3.612423
24,Hermitage La Chapelle Rouge 1990,Domaine de La Chapelle,Hermitage La Chapelle Rouge,1990,France,Hermitage,northern-rhone-hermitage,Hermitage,1,Shiraz/Syrah,1,4.6,476,801.0,3.4831219,,4.6259274,1.69141,3.9987392
25,Dry Grown Barossa Ranges Shiraz 2015,Chris Ringland,Dry Grown Barossa Ranges Shiraz,2015,Australia,Barossa Valley,australian-barossa-valley-shiraz,Shiraz,1,Shiraz/Syrah,1,0.0,10,790.0,2.9732761,,4.9591937,2.4311323,3.2064495
26,Pharaon 2019,Department 66,Pharaon,2019,France,Côtes Catalanes,languedoc-roussillon-red,Red,1,Shiraz/Syrah,1,0.0,13,190.0,3.6961498,,4.1289983,1.6256974,3.5333004
27,L'Hermitage 2010,Domaine Jean-Louis Chave,L'Hermitage,2010,France,Hermitage,northern-rhone-hermitage,Hermitage,1,Shiraz/Syrah,1,4.6,271,634.0,3.5286162,,4.533449,1.6509355,4.0770655
28,Les Onze Terrasses 2018,Domaine Lafage,Les Onze Terrasses,2018,France,Côtes du Roussillon,languedoc-roussillon-red,Red,1,Shiraz/Syrah,1,0.0,12,86.0,3.6594129,,4.318652,1.5659783,3.9010434
29,Grange 2017,Penfolds,Grange,2017,Australia,South Australia,australian-cabernet-shiraz,Cabernet - Shiraz,1,Shiraz/Syrah,1,4.6,243,1056.0,3.048115,,4.706254,2.1060302,3.2383633
30,Habemus Lazio Rosso (Etichetta Bianca) 2018,San Giovenale,Habemus Lazio Rosso (Etichetta Bianca),2018,Italy,Lazio,central-italy-red,Red,1,Shiraz/Syrah,1,4.6,235,95.7,3.0804875,,3.6170788,1.9578805,2.9533715
31,Réserve Côtes-du-Rhône 2010,Chateau de Fonsalette,Réserve Côtes-du-Rhône,2010,France,Côtes-du-Rhône,southern-rhone-red,Red,1,Shiraz/Syrah,1,4.6,219,360.0,3.3821251,,3.7539876,1.9339329,3.1593251
32,Côte-Rôtie La Turque 2012,E. Guigal,Côte-Rôtie La Turque,2012,France,Côte-Rôtie,northern-rhone-cote-rotie,Côte-Rotie,1,Shiraz/Syrah,1,4.6,213,350.0,3.8767025,,4.0980372,1.7093172,3.96099
33,Côte-Rôtie La Mouline 2012,E. Guigal,Côte-Rôtie La Mouline,2012,France,Côte-Rôtie,northern-rhone-cote-rotie,Côte-Rotie,1,Shiraz/Syrah,1,4.6,206,340.0,3.8723943,,3.9637773,1.712564,3.8749628
34,Côte-Rôtie La Turque 2013,E. Guigal,Côte-Rôtie La Turque,2013,France,Côte-Rôtie,northern-rhone-cote-rotie,Côte-Rotie,1,Shiraz/Syrah,1,4.6,205,288.75,3.8767025,,4.0980372,1.7093172,3.96099
35,RunRig 2017,Torbreck,RunRig,2017,Australia,Barossa Valley,australian-syrah-viognier,Syrah - Viognier,1,Shiraz/Syrah,1,4.6,189,250.0,3.4775155,,4.376364,2.2530892,2.863259
36,Côte-Rôtie La Turque 2000,E. Guigal,Côte-Rôtie La Turque,2000,France,Côte-Rôtie,northern-rhone-cote-rotie,Côte-Rotie,1,Shiraz/Syrah,1,4.6,185,410.0,3.8767025,,4.0980372,1.7093172,3.96099
